trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,polygon.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,key_reso.corr,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,49,48,up,0.005,db,0.0505789727129949,0.0012836999999308318,165.27611989999969,166.29511809999985,166.29511809999985,166.59531919999972,1,1,,166.27810359999967,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,50,49,up,0.005,db,0.0505789727129949,0.001478500000303029,168.9263573999997,169.94525750000003,169.94525750000003,,0,0,1,169.92831279999973,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,51,50,up,0.005,db,0.0506080966918926,0.0006573999999091029,171.1742403999997,172.1953857999997,172.1953857999997,172.49502540000003,1,1,0,172.17894099999967,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,52,51,up,0.005,db,0.0506080966918926,0.0014842999999018502,180.27519919999986,181.2958966000001,181.2958966000001,181.59560699999975,1,1,1,181.2787933999998,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,53,52,up,0.005,db,0.0506080966918926,0.0014459000003625988,182.7593879000001,183.77902109999968,183.77902109999968,184.0788480000001,1,1,,183.76220130000002,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,54,53,down,0.005,db,0.0505789727129949,0.0014415000000553846,185.14150139999992,186.16220829999975,186.16220829999975,186.46222379999972,0,0,,186.14531570000008,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,55,54,up,0.005,db,0.0506080966918926,0.0012393999995765625,187.57604139999967,188.59576819999984,188.59576819999984,188.8958087000001,0,0,0,188.57879509999975,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,56,55,up,0.005,db,0.05063723744072652,0.001478900000165595,190.94472499999983,191.96253939999997,191.96253939999997,192.26234189999968,0,0,,191.94568230000004,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,57,56,up,0.005,db,0.050666394969153004,0.0014556000000993663,193.61055129999977,194.62913660000004,194.62913660000004,194.9290989000001,1,1,0,194.61220909999975,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,58,57,up,0.005,db,0.050666394969153004,0.0014592000002267014,196.07780520000006,197.0957499000001,197.0957499000001,197.39575319999994,0,0,1,197.07864299999983,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,59,58,up,0.005,db,0.050695569286833934,0.0015005000000201107,198.51123479999978,199.52916049999976,199.52916049999976,199.82925549999982,0,0,,199.51205840000011,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,60,59,up,0.005,db,0.050724760403436764,0.0014762000000700937,200.9613135999998,201.97924459999967,201.97924459999967,202.2792357999997,0,0,,201.96233729999994,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,61,60,up,0.005,db,0.05075396832863452,0.0014944999998078856,203.44304969999985,204.46268809999992,204.46268809999992,204.76285169999983,0,0,0,204.44572160000007,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,62,61,up,0.005,db,0.05078319307210579,0.0015653000000384054,205.9091613999999,206.92907139999988,206.92907139999988,207.22940229999995,1,1,,206.91218200000003,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,63,62,up,0.005,db,0.05078319307210579,0.0013094999999339052,208.3098471999997,209.32934780000005,209.32934780000005,209.6294783999997,0,0,1,209.3125058999999,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,64,63,up,0.005,db,0.050812434643534736,0.0012353999995866616,210.6766146,211.69606329999988,211.69606329999988,211.9960971999999,0,0,,211.6793235,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,65,64,up,0.005,db,0.050841693052611096,0.001506299999618932,213.22570689999975,214.24626790000002,214.24626790000002,214.54630039999984,1,1,0,214.22920780000004,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,66,65,up,0.005,db,0.050841693052611096,0.001483600000028673,215.64442299999973,216.66294199999993,216.66294199999993,216.96293530000003,0,0,1,216.6461951000001,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,67,66,up,0.005,db,0.05087096830903019,0.0015283000002455083,218.11142560000008,219.12970360000008,219.12970360000008,219.42967210000006,0,0,0,219.11262420000003,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,68,67,up,0.005,db,0.050900260422492925,0.0012277000000722182,220.49270320000005,221.51310740000008,221.51310740000008,221.81289960000004,1,1,,221.4961847999998,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,69,68,up,0.005,db,0.050900260422492925,0.0015189000000646047,222.99451659999977,224.01286729999993,224.01286729999993,224.31341599999996,0,0,1,223.99615649999987,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,70,69,up,0.005,db,0.050929569402705786,0.0014274000000114029,225.31186709999974,226.3298550999998,226.3298550999998,226.63001529999974,0,0,,226.31290850000005,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,71,70,up,0.005,db,0.05095889525938085,0.0012384000001475215,227.7101878999997,228.72988429999987,228.72988429999987,229.0293769,1,1,,228.71302289999994,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,72,71,up,0.005,db,0.05095889525938085,0.0007506000001740176,230.02489119999973,231.0467891999997,231.0467891999997,231.34638859999995,0,0,,231.02981610000006,583307,001,2022-09-09_10h43.02.303,STAIRCASE,2022.2.2,60.04141656910351,
